Date,Returns,CPI,Interest_Rate,Oil,FX,VIX
2020-01-03,-0.0070598705620453,0.0011,0.00205,0.0305655266844868,-0.0044014949571914,0.1242983285921113
2020-01-06,0.0035333728907271,0.0012,0.0021,0.0034893136140405,-0.0008483365294456,-0.0121255399959567
2020-01-07,-0.0028032386528962,0.0013,0.00215,-0.0090090041204398,0.0032283382911486,-0.004332160141813
2020-01-08,0.0049024513689781,0.0014,0.0022,-0.0492822984846648,-0.0038628596467005,-0.0246555586315029
2020-01-09,0.0066552626054889,0.0015,0.00225,-0.0008387726312464,-0.0037228795184237,-0.0676579821796911
2020-01-10,-0.0028551786896625,0.0016,0.0023,-0.008730699223873,-0.0001888991043865,0.0015949328408704
2020-01-13,0.0069762152525698,0.0017,0.00235,-0.0162601468425821,0.0005001783132467,-0.0191083373227948
2020-01-14,-0.0015145327728022,0.0018,0.0024,0.0025826051386492,0.0017148976262308,0.0056818709604304
2020-01-15,0.0018701968845122,0.0019,0.00245,-0.0072127455306035,-0.0004340923615802,0.0024212858869983
2020-01-16,0.0083665530264682,0.002,0.0025,0.0122815960492379,0.0020757662165888,-0.0080515604553494
2020-01-17,0.0038621622485013,0.0021,0.00255,0.0003417713193305,-0.0012933037942931,-0.0178570875652631
2020-01-21,-0.0026519776473655,0.0022,0.0026,-0.0034164803520938,0.00021081316828,0.0619834691202629
2020-01-22,0.000289076071118,0.0023,0.00265,-0.0274254108662377,-0.0010198972346647,0.004669219000873
2020-01-23,0.0011409766124783,0.0024,0.0027,-0.0202679149076469,0.0009765264799332,0.0054221297948544
2020-01-24,-0.0090421609742074,0.0025,0.00275,-0.0251844130605517,-0.0037146146349177,0.1217258037828985
2020-01-27,-0.0157307116591823,0.0026,0.0028,-0.0193762550963237,-0.0027011607227293,0.252060372036462
2020-01-28,0.010053584595046,0.0027,0.00285,0.0063981963961805,-0.0005068798012616,-0.106966478582347
2020-01-29,-0.0008668741908683,0.0028,0.0029,-0.002804744062557,0.0002534602516883,0.0067566768036539
2020-01-30,0.0031343587926053,0.0029,0.00295,-0.0223139396315058,-0.0005178233768053,-0.0549115101919218
2020-01-31,-0.0177058203755262,0.003,0.003,-0.0111238592855176,0.0011139836270916,0.216268588183969
2020-02-03,0.0072546138923517,0.0031,0.00305,-0.0281225896881099,0.0055005980931706,-0.0461783881203362
2020-02-04,0.0149804141640821,0.0032,0.0031,-0.0099780481722188,-0.0024228204988737,-0.106844749563629
2020-02-05,0.0112505958978537,0.0033,0.00315,0.0229792254711354,-0.0014140775226543,-0.0560747452530784
2020-02-06,0.0033256728767856,0.0034,0.0032,0.0039409017327971,-0.004070838744932,-0.0125412267437227
2020-02-07,-0.0054008536727301,0.0035,0.00325,-0.0123650845668581,-0.0017573176694883,0.0340909243035676
2020-02-10,0.0073263978048905,0.0036,0.0033,-0.0149046105832377,-0.0030657140611913,-0.0277957529252433
2020-02-11,0.0016884725532351,0.0037,0.00335,0.0074641705499829,-0.0032740540687078,0.0093085334892184
2020-02-12,0.0064626464661976,0.0038,0.0034,0.0246295469775703,0.0005459388777842,-0.0948616933536314
2020-02-13,-0.0016304457368023,0.0039,0.00345,0.0048856753751405,-0.0039806246137362,0.0298398729433708
2020-02-14,0.0018435333204338,0.004,0.0035,0.0122520632156637,-0.0027548918951001,-0.0332155000724523
2020-02-18,-0.0029199426368901,0.0041,0.00355,0.0,-0.0001517363587364,0.0840642977248453
2020-02-19,0.0047057858811645,0.0042,0.0036,0.0238232794743999,-0.0041238963628553,-0.0303438847997431
2020-02-20,-0.0038155197636281,0.0043,0.00365,0.0091949306690057,0.001361110319725,0.0820584350337232
2020-02-21,-0.0105181030271228,0.0044,0.0037,-0.0074376667954783,-0.0020444041177887,0.0976863408161012
2020-02-24,-0.0335136266712231,0.0045,0.00375,-0.0365305493428366,0.0047323486962835,0.4654567212207836
2020-02-25,-0.0302799955650561,0.0046,0.0038,-0.0297491497223051,0.0009362707871527,0.112664786954193
2020-02-26,-0.003778540605322,0.0047,0.00385,-0.0234469328229538,0.0030229751384687,-0.0104129591222662
2020-02-27,-0.0441632425840791,0.0048,0.0039,-0.0336548205428769,0.0003582195502427,0.4208998768597427
2020-02-28,-0.0082383404443618,0.0049,0.00395,-0.049479758409528,0.0102273934349932,0.0242594679939007
2020-03-02,0.04603922900611,0.005,0.004,0.0444593778617155,0.0049178636127522,-0.1667913821891017
2020-03-03,-0.0281078961210758,0.0051,0.00405,0.0091978674903909,0.0083914459093521,0.1017355389635619
